Mineral,Year,No. of mines submitting returns,Below ground,"Opencastworkings","Aboveground",Total,Output (in ’000 tonnes),Value of output (in million Rs.),
Bauxite,1961,31,--,"2,745",301,"3,046",4760,5
,1971,58,14,"4,128",673,"4,815","1,449",18
,1981,48,--,"3,586",731,"4,317","1,747",81
,1991,80,--,"3,968",959,"4,927","3,862",599
,2000,100,--,"4,391",996,"5,387","6,387","1,339"
,2001,98,--,"3,739",823,"4,562","7,020","1,710"
,2002,88,--,"3,748",793,"4,541","8,967","1,563"
,2003,91,--,"4,215",714,"4,929","10,652","1,809"
,2004,85,--,"5,423",632,"6,055","9,298","1,859"
,2005,79,--,"4,280",641,"4,921","9,178","1,893"
,2006,73,--,"4,416",584,"5,000","9,231","2,226"
,2007,82,--,"4,779",689,"5,468","10,848","2,849"
,2008,86,--,"4,893",752,"5,645","16,991","4,415"
,2009,89,--,"5,733",840,"6,573","12,452","4,038"
,2010,93,--,"5,766",876,"6,642","13,324","5,165"
,2011,94,--,"5,805",954,"6,759","13,697","5,626"
,2012,115,,"6,305","1,123","7,428","16,808","7,124"
,2013,122,--,"5,822","1,080","6,902","19,377","7,753"
,2014,108,,"5,554","1,083",6637,"18,485","8,344"
,2015,120,01,"6,623","1,142","7,766","18,609","10,604"
Copper,1961,4,"2,868",9,"1,311","4,188",423*,23
,1971,12,"5,166",--,"2,434","7,600",680,53
,1981,14,"8,722",574,"4,083","13,379","2,011",345
,1991,13,"7,972",938,"3,934","12,844","5,048","1,982"
,2000,10,"4,089",392,"2,399","6,880","3,209","1,958"
,2001,8,"2,613",262,"1,124","3,999","3,538","1,943"
,2002,8,"2,712",252,919,"3,343","3,197","1,898"
,2003,8,"1,153",238,"1,133","2,524","2,844","1,792"
,2004,5,"1,129",264,667,"2,060","3,096","1,172"
,2005,4,987,310,636,"1,933","2,660","1,120"
,2006,4,"1,042",275,638,"1,955","3,104","1,703"
,2007,5,"1,608",235,621,"2,464","3,274","1,974"
,2008,5,"1,637",237,738,"2,612","3,061","2,340"
,2009,5,"1,892",255,915,"3,062","3,091","2,378"
,2010,5,"1,692",243,964,2899,"3,944","3,480"
,2011,5,"1,825",250,"1,203","3,278","3,655","3,759"
,2012,6,"2,099",229,"1,454","3,782","3,437","3,770"
,2013,6,"2,084",218,"1,434","3,736","3,890","4,722"
,2014,6,"2,411",218,"1,061","3,690","3,348","3,755"
,2015,6,"1,734",166,632,"2,532","3,848","4,115"
,1961,2,N.A.,N.A.,N.A.,N.A.,15 *,4
,1971,3,"1,123",--,965,"2,088",297,7
,1981,6,"2,133",88,546,"2,767",960,95
,1991,13,"3,533",231,"2,481","6,245","1,816",543
,2000,12,"2,616",--,"2,646","5,262","3,319","2,111"
,2001,12,"2,251",309,"2,651","5,211","1,765","1,804"
,2002,12,"2,017",283,"2,196","4,496","3,183","3,564"
,2003,12,"1,348",602,"1,577","3,527","3,534","1,782"
,2004,11,"1,114",613,"2,049","3,776","3,525","2,025"
,2005,12,"1,040",709,"1,481","3,230","4,400","2,219"
,2006,11,"1,183",342,"1,752","3,277","4,232","2,920"
,2007,11,"1,148",379,"1,773","3,300","5,065","4,030"
,2008,11,"1,201",460,"1,609","3,270","7,022","6,179"
,2009,11,"1,273",484,"1,606","3,363","11,742","9,786"
,2010,11,"1,298",484,"1,702","3,484","11,760","9,748"
,2011,12,"1,316",708,"1,971","3,995","13,499","13,968"
,2012,13,"1,368",708,"1,983","4,059","8,590","9,082"
,2013,13,"2,348",--,"2,142","4,490","7,867","20,471"
,2014,13,"2,614",890,"2,241","5,745","12,750","14,313"
,2015,15,"3,465",--,"1,626","5,091","12,070","18,759"
Gold,1961$,4,"9,792",--,6.503,"16,295","4,868*",59
,1971,4,"8,183",--,"4,175","12,358","595,043",81
,1981,10,"7,641",--,"4,644","12,295","503,376",186
,1991,9,"5,359",--,"3,973","9,332","468,072",730
,2000,9,"3,124",102,"2,112","5,338","583,186","1,269"
,2001,6,"1,842",93,"1,683","3,618","488,921","1,209"
,2002,6,"1,727",89,"1,526","3,342","622,083","1,489"
,2003,4,"1,275",60,"1,412","2,747","732,636","1,922"
,2004,3,"1,315",53,"1,359","2,727","700,094","2,162"
,2005,4,"1,544",--,"1,569","3,113","623,314","2,350"
,2006,4,"1,593",--,"1,543","3,136","595,760","2,104"
,2007,4,"1,514",--,"1,551","3,065","370,081","1,326"
,2008,4,"1,456",--,"1,604","3,060","647,918","3,607"
,2009,4,499,--,"1,529","2,028","623,120","3,459"
,2010,4,"1,536",--,"1,500","3,036","681,872","4,606"
,2011,5,"1,585",--,"1,524","3,109","697,000","3,137"
,2012,5,"1,645",--,"1,545","3,190","682,725","3,220"
,2013,5,"1,699",--,"1,703","3,402","695,889","3,152"
,2014,6,"1,725",78,"1,884","3,687","731,364","3,685"
,2015,7,"1,733",203,"1,648","3,588","184,69","3,507"
Granite,2000,145,--,"4,438",859,"5,297",346,"1,346"
,2001,142,--,"4,110","1,901","6,011",395,"1,942"
,2002,166,28,"4,519","1,445","5,992",339,"2,543"
,2003,154,--,"4,846","1,366","6,212",471,"3,986"
,2004,165,--,"5,108","1,645","6,753",619,"4,419"
,2005,179,--,"5,456","1,720","7,176",902,"5,177"
,2006,177,--,"5,488","1,945","7,433","1,092","7,064"
,2007,186,--,"6,240","1,875","8,115","1,441","11,502"
,2008,195,--,"6,222","1,967","8,189","1,409","10,517"
,2009,200,--,"6,560","2,091","8,651","1,366","10,446"
,2010,206,--,"7,275","2,020","9,295","1,539","12,873"
,2011,220,--,"8,062","2,336","10,398","1,786","15,474"
,2012,241,--,"8,881","2,579","11,460","3,949","22,026"
,2013,251,--,"9,673","2,695","12,368","3,608","19,747"
,2014,266,,"10,077","2,722","12,799","4,470","29,499"
,2015,300,31,"10,841","2,684","13,556","6,398","35,136"
